id,sessions,bearings,geometry
62_38,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185410 5817405, -185410 5817485, -185490 5817485, -185490 5817405, -185410 5817405))"
63_38,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185330 5817405, -185330 5817485, -185410 5817485, -185410 5817405, -185330 5817405))"
64_38,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185250 5817405, -185250 5817485, -185330 5817485, -185330 5817405, -185250 5817405))"
65_37,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185170 5817325, -185170 5817405, -185250 5817405, -185250 5817325, -185170 5817325))"
65_38,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185170 5817405, -185170 5817485, -185250 5817485, -185250 5817405, -185170 5817405))"
66_37,EL6W028_2022_05_27__20_13_39,255.7,"POLYGON ((-185090 5817325, -185090 5817405, -185170 5817405, -185170 5817325, -185090 5817325))"
67_37,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,255.7|230.0,"POLYGON ((-185010 5817325, -185010 5817405, -185090 5817405, -185090 5817325, -185010 5817325))"
68_37,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,230.0|202.7|173.6,"POLYGON ((-184930 5817325, -184930 5817405, -185010 5817405, -185010 5817325, -184930 5817325))"
69_36,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,173.6|136.2,"POLYGON ((-184850 5817245, -184850 5817325, -184930 5817325, -184930 5817245, -184850 5817245))"
69_37,EL6W028_2022_05_27__20_13_39,173.6,"POLYGON ((-184850 5817325, -184850 5817405, -184930 5817405, -184930 5817325, -184850 5817325))"
70_36,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,136.2|119.2,"POLYGON ((-184770 5817245, -184770 5817325, -184850 5817325, -184850 5817245, -184770 5817245))"
71_35,EL6W028_2022_05_27__20_13_39,119.2,"POLYGON ((-184690 5817165, -184690 5817245, -184770 5817245, -184770 5817165, -184690 5817165))"
71_36,EL6W028_2022_05_27__20_13_39,119.2,"POLYGON ((-184690 5817245, -184690 5817325, -184770 5817325, -184770 5817245, -184690 5817245))"
72_35,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,119.2|144.2,"POLYGON ((-184610 5817165, -184610 5817245, -184690 5817245, -184690 5817165, -184610 5817165))"
73_34,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,144.2|172.3|201.1,"POLYGON ((-184530 5817085, -184530 5817165, -184610 5817165, -184610 5817085, -184530 5817085))"
73_35,EL6W028_2022_05_27__20_13_39,144.2,"POLYGON ((-184530 5817165, -184530 5817245, -184610 5817245, -184610 5817165, -184530 5817165))"
74_34,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,201.1|235.7,"POLYGON ((-184450 5817085, -184450 5817165, -184530 5817165, -184530 5817085, -184450 5817085))"
75_33,EL6W028_2022_05_27__20_13_39,235.7,"POLYGON ((-184370 5817005, -184370 5817085, -184450 5817085, -184450 5817005, -184370 5817005))"
75_34,EL6W028_2022_05_27__20_13_39,235.7,"POLYGON ((-184370 5817085, -184370 5817165, -184450 5817165, -184450 5817085, -184370 5817085))"
76_33,EL6W028_2022_05_27__20_13_39,235.7,"POLYGON ((-184290 5817005, -184290 5817085, -184370 5817085, -184370 5817005, -184290 5817005))"
77_32,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,235.7|208.7|180.0,"POLYGON ((-184210 5816925, -184210 5817005, -184290 5817005, -184290 5816925, -184210 5816925))"
77_33,EL6W028_2022_05_27__20_13_39,235.7,"POLYGON ((-184210 5817005, -184210 5817085, -184290 5817085, -184290 5817005, -184210 5817005))"
78_31,EL6W028_2022_05_27__20_13_39,122.0,"POLYGON ((-184130 5816845, -184130 5816925, -184210 5816925, -184210 5816845, -184130 5816845))"
78_32,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,180.0|144.8|122.0,"POLYGON ((-184130 5816925, -184130 5817005, -184210 5817005, -184210 5816925, -184130 5816925))"
79_31,EL6W028_2022_05_27__20_13_39,122.0,"POLYGON ((-184050 5816845, -184050 5816925, -184130 5816925, -184130 5816845, -184050 5816845))"
80_30,EL6W028_2022_05_27__20_13_39,122.0,"POLYGON ((-183970 5816765, -183970 5816845, -184050 5816845, -184050 5816765, -183970 5816765))"
80_31,EL6W028_2022_05_27__20_13_39,122.0,"POLYGON ((-183970 5816845, -183970 5816925, -184050 5816925, -184050 5816845, -183970 5816845))"
81_30,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,122.0|147.6|174.2,"POLYGON ((-183890 5816765, -183890 5816845, -183970 5816845, -183970 5816765, -183890 5816765))"
81_157,EL6W028_2022_05_19__20_10_41,358.5,"POLYGON ((-183890 5826925, -183890 5827005, -183970 5827005, -183970 5826925, -183890 5826925))"
81_158,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,358.5|0.1|359.9|0.1|358.0,"POLYGON ((-183890 5827005, -183890 5827085, -183970 5827085, -183970 5827005, -183890 5827005))"
81_159,EL6W028_2022_05_19__20_10_41,358.0,"POLYGON ((-183890 5827085, -183890 5827165, -183970 5827165, -183970 5827085, -183890 5827085))"
82_29,EL6W028_2022_05_27__20_13_39,236.4,"POLYGON ((-183810 5816685, -183810 5816765, -183890 5816765, -183890 5816685, -183810 5816685))"
82_30,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,174.2|205.0|236.4,"POLYGON ((-183810 5816765, -183810 5816845, -183890 5816845, -183890 5816765, -183810 5816765))"
